WellName,FlowDate,FlowRateAcFtPM,FlowRateCFS,FlowRateGPM
SW0132,2022-10-01,0,,
SW0132,2022-11-01,0,,
SW0132,2022-12-01,0,,
SW0132,2023-01-01,0,,
SW0132,2023-02-01,0,,
SW0132,2023-03-01,0,,
SW0132,2023-04-01,0,,
SW0132,2023-05-01,3.36,,
SW0132,2023-06-01,11.87,,
SW0132,2023-07-01,509.83,,
SW0132,2023-08-01,496.12,,
SW0132,2023-09-01,64.7,,
SW0238,2022-10-01,0,,
SW0238,2022-11-01,0,,
SW0238,2022-12-01,0,,
SW0238,2023-01-01,0,,
SW0238,2023-02-01,0,,
SW0238,2023-03-01,0,,
SW0238,2023-04-01,0,,
SW0238,2023-05-01,51.83,,
SW0238,2023-06-01,49.01,,
SW0238,2023-07-01,87.57,,
SW0238,2023-08-01,71.05,,
SW0238,2023-09-01,0,,
SW0239,2022-10-01,0,,
SW0239,2022-11-01,0,,
SW0239,2022-12-01,0,,
SW0239,2023-01-01,0,,
SW0239,2023-02-01,0,,
SW0239,2023-03-01,0,,
SW0239,2023-04-01,0,,
SW0239,2023-05-01,108.15,,
SW0239,2023-06-01,225.02,,
SW0239,2023-07-01,214.46,,
SW0239,2023-08-01,27.41,,
SW0239,2023-09-01,17.89,,
SW0108,2022-10-01,8.9,,
SW0108,2022-11-01,0.48,,
SW0108,2022-12-01,0.07,,
SW0108,2023-01-01,0.01,,
SW0108,2023-02-01,0.03,,
SW0108,2023-03-01,0.07,,
SW0108,2023-04-01,3.52,,
SW0108,2023-05-01,8.5,,
SW0108,2023-06-01,12.27,,
SW0108,2023-07-01,16.47,,
SW0108,2023-08-01,6.27,,
SW0108,2023-09-01,5.44,,
SW0034,2022-10-01,0,,
SW0034,2022-11-01,0,,
SW0034,2022-12-01,0,,
SW0034,2023-01-01,0,,
SW0034,2023-02-01,0,,
SW0034,2023-03-01,10.05,,
SW0034,2023-04-01,65.98,,
SW0034,2023-05-01,116.92,,
SW0034,2023-06-01,117.55,,
SW0034,2023-07-01,126.48,,
SW0034,2023-08-01,118.57,,
SW0034,2023-09-01,114.25,,
SW0142,2022-10-01,0,,
SW0142,2022-11-01,0,,
SW0142,2022-12-01,0,,
SW0142,2023-01-01,0,,
SW0142,2023-02-01,0,,
SW0142,2023-03-01,0,,
SW0142,2023-04-01,54.58,,
SW0142,2023-05-01,313.74,,
SW0142,2023-06-01,662.96,,
SW0142,2023-07-01,700.21,,
SW0142,2023-08-01,302.42,,
SW0142,2023-09-01,54.15,,
SW0201,2022-10-01,0,,
SW0201,2022-11-01,0,,
SW0201,2022-12-01,0,,
SW0201,2023-01-01,0,,
SW0201,2023-02-01,0,,
SW0201,2023-03-01,0,,
SW0201,2023-04-01,0,,
SW0201,2023-05-01,0,,
SW0201,2023-06-01,0,,
SW0201,2023-07-01,0,,
SW0201,2023-08-01,0,,
SW0201,2023-09-01,0,,
SW0240,2022-10-01,0,,
SW0240,2022-11-01,0,,
SW0240,2022-12-01,0,,
SW0240,2023-01-01,0,,
SW0240,2023-02-01,0,,
SW0240,2023-03-01,0,,
SW0240,2023-04-01,0,,
SW0240,2023-05-01,53.09,,
SW0240,2023-06-01,85.55,,
SW0240,2023-07-01,116.5,,
SW0240,2023-08-01,34,,
SW0240,2023-09-01,0,,
SW0257,2022-10-01,0,,
SW0257,2022-11-01,0,,
SW0257,2022-12-01,0,,
SW0257,2023-01-01,0,,
SW0257,2023-02-01,0,,
SW0257,2023-03-01,0,,
SW0257,2023-04-01,0,,
SW0257,2023-05-01,246.47,,
SW0257,2023-06-01,731.9,,
SW0257,2023-07-01,1944.16,,
SW0257,2023-08-01,705.78,,
SW0257,2023-09-01,0,,
SW0290,2022-10-01,0,,
SW0290,2022-11-01,0,,
SW0290,2022-12-01,0,,
SW0290,2023-01-01,0,,
SW0290,2023-02-01,0,,
SW0290,2023-03-01,0,,
SW0290,2023-04-01,0,,
SW0290,2023-05-01,2.36,,
SW0290,2023-06-01,32.05,,
SW0290,2023-07-01,44.47,,
SW0290,2023-08-01,0,,
SW0290,2023-09-01,0,,
SW0043,2022-10-01,443.95,,
SW0043,2022-11-01,143.96,,
SW0043,2022-12-01,169.58,,
SW0043,2023-01-01,224.02,,
SW0043,2023-02-01,193.28,,
SW0043,2023-03-01,271.93,,
SW0043,2023-04-01,456.15,,
SW0043,2023-05-01,951.06,,
SW0043,2023-06-01,857.35,,
SW0043,2023-07-01,735.43,,
SW0043,2023-08-01,369.52,,
SW0043,2023-09-01,282.71,,
SW0069,2022-10-01,110.5,,
SW0069,2022-11-01,108.01,,
SW0069,2022-12-01,114.05,,
SW0069,2023-01-01,127.56,,
SW0069,2023-02-01,132.65,,
SW0069,2023-03-01,176.39,,
SW0069,2023-04-01,340.13,,
SW0069,2023-05-01,717.17,,
SW0069,2023-06-01,977.25,,
SW0069,2023-07-01,1615.06,,
SW0069,2023-08-01,1086.88,,
SW0069,2023-09-01,588.68,,
SW0070,2022-10-01,64.56,,
SW0070,2022-11-01,52.68,,
SW0070,2022-12-01,61.04,,
SW0070,2023-01-01,87.55,,
SW0070,2023-02-01,81.63,,
SW0070,2023-03-01,104.77,,
SW0070,2023-04-01,269.14,,
SW0070,2023-05-01,1290.39,,
SW0070,2023-06-01,1956.33,,
SW0070,2023-07-01,2193.76,,
SW0070,2023-08-01,1075.38,,
SW0070,2023-09-01,429.81,,
SW0281,2022-10-01,0,,
SW0281,2022-11-01,0,,
SW0281,2022-12-01,0,,
SW0281,2023-01-01,0,,
SW0281,2023-02-01,0,,
SW0281,2023-03-01,0,,
SW0281,2023-04-01,0,,
SW0281,2023-05-01,0,,
SW0281,2023-06-01,72.58,,
SW0281,2023-07-01,464.55,,
SW0281,2023-08-01,276.07,,
SW0281,2023-09-01,133.83,,
SW0079,2022-10-01,235.45,,
SW0079,2022-11-01,164.8,,
SW0079,2022-12-01,230,,
SW0079,2023-01-01,371.77,,
SW0079,2023-02-01,221.7,,
SW0079,2023-03-01,628.99,,
SW0079,2023-04-01,1017.51,,
SW0079,2023-05-01,2424.29,,
SW0079,2023-06-01,3537.8,,
SW0079,2023-07-01,4576.71,,
SW0079,2023-08-01,2334.22,,
SW0079,2023-09-01,1303.87,,
SW0274,2022-10-01,0,,
SW0274,2022-11-01,0,,
SW0274,2022-12-01,0,,
SW0274,2023-01-01,0,,
SW0274,2023-02-01,0,,
SW0274,2023-03-01,0,,
SW0274,2023-04-01,7.74,,
SW0274,2023-05-01,11.03,,
SW0274,2023-06-01,19.39,,
SW0274,2023-07-01,75.24,,
SW0274,2023-08-01,40.03,,
SW0274,2023-09-01,0,,
SW0010,2022-10-01,695.6,,
SW0010,2022-11-01,38.57,,
SW0010,2022-12-01,0,,
SW0010,2023-01-01,0,,
SW0010,2023-02-01,0,,
SW0010,2023-03-01,678.62,,
SW0010,2023-04-01,5.25,,
SW0010,2023-05-01,1618.41,,
SW0010,2023-06-01,5464.31,,
SW0010,2023-07-01,6473.59,,
SW0010,2023-08-01,399,,
SW0010,2023-09-01,0,,
SW0099,2022-10-01,194.21,,
SW0099,2022-11-01,181.4,,
SW0099,2022-12-01,190.12,,
SW0099,2023-01-01,259.62,,
SW0099,2023-02-01,228.74,,
SW0099,2023-03-01,429.93,,
SW0099,2023-04-01,636,,
